index,name,date_of_birth,height,weight,spike,block,position_number,country
160,Gabriela Candido Da Silva,22/05/1996,181,75,296,285,2,10
161,Gabriela Silva,05/03/1996,182,75,296,281,3,10
162,Karoline Tormena,21/03/1996,187,69,295,284,3,10
163,Lorenne Geraldo Teixeira,08/01/1996,187,72,306,289,4,10
164,Thais Oliveira,01/04/1996,172,69,275,272,1,10
165,Lais Vasques,12/02/1996,171,70,275,274,6,10
166,Lyara Medeiros,19/09/1996,184,67,297,285,1,10
167,Maiara Basso,03/01/1996,186,80,287,276,3,10
168,Nanami Hirose,12/05/1997,177,61,301,295,2,16
169,Misaki Shirai,30/07/1996,175,70,293,278,1,16
170,Yurika Kono,08/04/1996,177,60,292,282,3,16
171,Yuka Kitsui,15/01/1997,172,60,294,283,4,16
172,Haruka Maruo,15/08/1996,176,64,293,283,3,16
173,Haruka Kanamori,09/04/1996,176,66,297,290,3,16
174,Moeri Hanai,17/04/1997,167,60,280,272,6,16
175,Mizuki Yanagita,26/03/1996,168,64,300,290,2,16
176,Yuka Onodera,22/03/1997,173,70,293,283,1,16
177,Shino Nakata,15/07/1997,178,66,287,284,2,16
178,Kaori Mabashi,18/11/1996,173,63,296,286,2,16
179,Anna Koike,16/12/1996,162,62,263,253,2,9
180,Slavena Nikova,07/06/1996,180,72,290,280,2,9
181,Elitsa Barakova,11/03/1997,184,60,290,280,3,9
182,Polina Neykova,07/10/1998,182,73,287,280,1,9
183,Simona Nikolova,29/07/1997,190,75,308,300,4,9
184,Iveta Stanchulova,11/08/1997,186,72,290,285,3,9
185,Vangeliya Rachkovska,19/07/1997,185,67,296,281,2,9
186,Gergana Dimitrova,28/02/1996,184,71,305,288,2,9
187,Miroslava Paskova,16/02/1996,180,67,299,280,2,9
188,Kristiana Petrova,13/07/1997,177,70,290,282,2,9
189,Radostina Marinova,02/10/1998,183,62,287,279,3,9
190,Zhana Todorova,06/01/1997,170,56,271,255,6,9
191,Mirela Shahpazova,28/10/1997,175,65,280,270,1,9
192,Jovana Kocic,24/02/1998,190,85,290,285,3,24
193,Aleksandra Cirovic,30/09/1997,175,57,285,275,1,24
194,Sara Lozo,29/04/1997,186,61,295,290,4,24
